,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,vs LHP,77,,167,135,31.0,37,5,0,14,35,1,0,26,50,0.274,0.388,0.622,1.01,84,5,1,0,3,7,0,0.311,82,179
5,vs LH Starter,41,40.0,176,145,28.0,38,5,0,14,37,6,0,28,49,0.262,0.383,0.586,0.969,85,6,1,0,1,6,1,0.289,76,170
