,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
0,vs RHP,152,,529,435,102.0,140,23,0,48,96,15,3,85,125,0.322,0.436,0.706,1.142,307,9,5,0,2,12,1,0.349,106,220
4,vs RH Starter,116,113.0,520,425,105.0,139,23,0,48,94,10,3,83,126,0.327,0.439,0.72,1.159,306,8,5,0,4,13,0,0.357,108,224
